file,ctime,Extractiontime
gamma_test_generated_11197.hdf5,1548084440,1548084629
gamma_test_generated_11198.hdf5,1548084440,1548085032
gamma_test_generated_11199.hdf5,1548084440,1548084630
gamma_test_generated_11200.hdf5,1548084440,1548084613
gamma_test_generated_11201.hdf5,1548084440,1548084622
gamma_test_generated_11202.hdf5,1548084440,1548084633
gamma_test_generated_11203.hdf5,1548084440,1548084635
gamma_test_generated_11204.hdf5,1548084440,1548084617
gamma_test_generated_11205.hdf5,1548084440,1548084637
gamma_test_generated_11206.hdf5,1548084440,1548084638
gamma_test_generated_11207.hdf5,1548084440,1548084639
gamma_test_generated_11208.hdf5,1548084440,1548084621
gamma_test_generated_11209.hdf5,1548084440,1548084642
gamma_test_generated_11210.hdf5,1548084440,1548084617
gamma_test_generated_11211.hdf5,1548084440,1548084624
gamma_test_generated_11212.hdf5,1548084440,1548084642
gamma_test_generated_11213.hdf5,1548084440,1548084619
gamma_test_generated_11214.hdf5,1548084440,1548084643
gamma_test_generated_11215.hdf5,1548084440,1548084644
gamma_test_generated_11216.hdf5,1548084440,1548084624
gamma_test_generated_11217.hdf5,1548084440,1548084628
gamma_test_generated_11218.hdf5,1548084440,1548084645
gamma_test_generated_11219.hdf5,1548084441,1548084631
gamma_test_generated_11220.hdf5,1548084441,1548084635
gamma_test_generated_11221.hdf5,1548084441,1548084625
gamma_test_generated_11222.hdf5,1548084441,1548084638
gamma_test_generated_11223.hdf5,1548084441,1548084646
gamma_test_generated_11224.hdf5,1548084441,1548085035
gamma_test_generated_11225.hdf5,1548084441,1548084640
gamma_test_generated_11226.hdf5,1548084441,1548084648
gamma_test_generated_11227.hdf5,1548084441,1548084649
gamma_test_generated_11228.hdf5,1548084441,1548084634
gamma_test_generated_11229.hdf5,1548084441,1548084631
gamma_test_generated_11230.hdf5,1548084441,1548084632
gamma_test_generated_11231.hdf5,1548084441,1548084636
gamma_test_generated_11232.hdf5,1548084441,1548084651
gamma_test_generated_11233.hdf5,1548084441,1548084652
gamma_test_generated_11234.hdf5,1548084441,1548084641
gamma_test_generated_11235.hdf5,1548084441,1548084646
gamma_test_generated_11236.hdf5,1548084441,1548084651
gamma_test_generated_11237.hdf5,1548084441,1548084654
gamma_test_generated_11238.hdf5,1548084441,1548084655
gamma_test_generated_11239.hdf5,1548084441,1548084655
gamma_test_generated_11240.hdf5,1548084441,1548084648
gamma_test_generated_11241.hdf5,1548084441,1548084660
gamma_test_generated_11242.hdf5,1548084441,1548084661
gamma_test_generated_11243.hdf5,1548084441,1548084662
gamma_test_generated_11244.hdf5,1548084441,1548084663
gamma_test_generated_11245.hdf5,1548084441,1548084653
gamma_test_generated_11246.hdf5,1548084441,1548084650
gamma_test_generated_11247.hdf5,1548084441,1548084658
gamma_test_generated_11248.hdf5,1548084442,1548084647
gamma_test_generated_11249.hdf5,1548084442,1548084665
gamma_test_generated_11250.hdf5,1548084442,1548084667
gamma_test_generated_11251.hdf5,1548084442,1548084656
gamma_test_generated_11252.hdf5,1548084442,1548084669
gamma_test_generated_11253.hdf5,1548084442,1548084669
gamma_test_generated_11254.hdf5,1548084442,1548084670
gamma_test_generated_11255.hdf5,1548084442,1548084657
gamma_test_generated_11256.hdf5,1548084442,1548084672
gamma_test_generated_11257.hdf5,1548084442,1548084672
gamma_test_generated_11258.hdf5,1548084442,1548084674
gamma_test_generated_11259.hdf5,1548084442,1548084676
